child_id,time,utterance,txt_label,img_label,n_objs,txt_ball,txt_brush,txt_car,txt_manu,txt_tima,txt_zem,n_imgs,img_ball,img_brush,img_car,img_manu,img_tima,img_zem,mat_label
XS_0801,2,you're patting that ball.,ball,zem,1,1,0,0,0,0,0,,0,0,0,0,0,1,FALSE
XS_0801,302.1,that's a tima.,tima,brush,2,0,0,0,0,1,0,,0,1,0,0,0,0,FALSE
XS_0801,302.1,that's a tima.,tima,tima,2,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0801,328.1,brush.,brush,brush,2,0,1,0,0,0,0,,0,1,0,0,0,0,TRUE
XS_0801,328.1,brush.,brush,tima,2,0,1,0,0,0,0,,0,0,0,0,1,0,FALSE
XS_0801,330,against the tima.,tima,tima,1,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0801,456.9,tima,tima,tima,1,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0805,223.8,is that a ball?,ball,zem,1,1,0,0,0,0,0,,0,0,0,0,0,1,FALSE
XS_0805,243.3,say ball.,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0805,251.3,the ball rolled away.,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0805,253.9,the ball rolled away.,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0805,282.5,want to see the brush?,brush,brush,1,0,1,0,0,0,0,,0,1,0,0,0,0,TRUE
XS_0805,640.7,can you get the ball?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0805,740.2,where's the ball?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0805,741.6,can you get the ball?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0805,748.9,can you get the ball?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0805,790,you want a brush?,brush,brush,1,0,1,0,0,0,0,,0,1,0,0,0,0,TRUE
XS_0805,861.9,where's the ball?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0805,863.3,where's the ball?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0805,867.5,where's the ball?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0805,868.2,can you get the ball?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0807,53.6,can you bounce the ball?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0807,156.3,or do you like the the manu?,manu,manu,1,0,0,0,1,0,0,,0,0,0,1,0,0,TRUE
XS_0807,158.4,you like the manu?,manu,manu,1,0,0,0,1,0,0,,0,0,0,1,0,0,TRUE
XS_0807,357.6,tima.,tima,tima,1,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0807,504.1,you see the tima?,tima,tima,1,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0807,505.7,and you're chewing on the brush there.,brush,tima,1,0,1,0,0,0,0,,0,0,0,0,1,0,FALSE
XS_0807,650.6,let's put the tima and the zem or the brush away.,zem,brush,1,0,1,0,0,1,1,,0,1,0,0,0,0,TRUE
XS_0807,653.7,you want to try the ball and the zem again?,ball,zem,2,1,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0807,653.7,you want to try the ball and the zem again?,ball,ball,2,1,0,0,0,0,1,,1,0,0,0,0,0,TRUE
XS_0807,730,here's the ball.,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0807,773.1,you want the zem?,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0811,81.7,see the car driving on mommy.,car,car,1,0,0,1,0,0,0,,0,0,1,0,0,0,TRUE
XS_0811,254.6,car.,car,car,1,0,0,1,0,0,0,,0,0,1,0,0,0,TRUE
XS_0811,257.1,wanna drive the car again?,car,car,1,0,0,1,0,0,0,,0,0,1,0,0,0,TRUE
XS_0811,307.2,wanna play ball?,ball,zem,1,1,0,0,0,0,0,,0,0,0,0,0,1,FALSE
XS_0811,365.7,should we put the ball on top?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0811,403.5,the ball?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0811,525.5,ball.,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0811,569.4,you wanna play with the ball?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0814,19,we've got a zem.,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0814,28,you want the ball?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0814,44,there's the purple ball.,ball,zem,1,1,0,0,0,0,0,,0,0,0,0,0,1,FALSE
XS_0814,45,or the yellow zem?,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0814,67,you figured out how to grab the ball but not the zem?,ball,ball,1,1,0,0,0,0,1,,1,0,0,0,0,0,TRUE
XS_0814,68,you figured out how to grab the ball but not the zem?,zem,ball,1,1,0,0,0,0,1,,1,0,0,0,0,0,TRUE
XS_0814,103,how about the zem?,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0814,110,do you like the zem?,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0814,111,do you like the zem?,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0814,161,yeah that's the ball.,ball,zem,1,1,0,0,0,0,0,,0,0,0,0,0,1,FALSE
XS_0814,164,where'd the zem go?,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0814,180,you like that ball.,ball,zem,1,1,0,0,0,0,0,,0,0,0,0,0,1,FALSE
XS_0814,204,that's a pretty cool manu.,manu,car,1,0,0,0,1,0,0,,0,0,1,0,0,0,FALSE
XS_0814,215,but it's a manu.,manu,car,1,0,0,0,1,0,0,,0,0,1,0,0,0,FALSE
XS_0814,226,the manu looks like [xxx].,manu,car,1,0,0,0,1,0,0,,0,0,1,0,0,0,FALSE
XS_0814,227,tasty manu tasty manu.,manu,car,1,0,0,0,1,0,0,,0,0,1,0,0,0,FALSE
XS_0814,452,are you done with the manu and the car?,manu,manu,1,0,0,1,1,0,0,,0,0,0,1,0,0,TRUE
XS_0814,453,are you done with the manu and the car?,car,manu,1,0,0,1,1,0,0,,0,0,0,1,0,0,TRUE
XS_0814,521,you just want the manu for its handle.,manu,car,1,0,0,0,1,0,0,,0,0,1,0,0,0,FALSE
XS_0814,544,is the manu more fun than the car?,manu,car,1,0,0,1,1,0,0,,0,0,1,0,0,0,TRUE
XS_0814,545,is the manu more fun than the car?,car,car,1,0,0,1,1,0,0,,0,0,1,0,0,0,TRUE
XS_0814,599,you don't want the car hm?,car,car,1,0,0,1,0,0,0,,0,0,1,0,0,0,TRUE
XS_0814,621,you were chewing on the wheels of the car.,car,car,1,0,0,1,0,0,0,,0,0,1,0,0,0,TRUE
XS_0814,642,you got your manu.,manu,car,1,0,0,0,1,0,0,,0,0,1,0,0,0,FALSE
XS_0814,644,you got your manu.,manu,car,1,0,0,0,1,0,0,,0,0,1,0,0,0,FALSE
XS_0814,646,manumanumanu.,manu,car,3,0,0,0,1,0,0,,0,0,1,0,0,0,FALSE
XS_0814,882,look at the tima.,tima,tima,1,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0814,883,and here's a brush a giant brush.,brush,tima,1,0,1,0,0,0,0,,0,0,0,0,1,0,FALSE
XS_0814,884,and here's a brush a giant brush.,brush,tima,1,0,1,0,0,0,0,,0,0,0,0,1,0,FALSE
XS_0815,201.5,byebye zem.,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0815,493.9,a brush.,brush,brush,1,0,1,0,0,0,0,,0,1,0,0,0,0,TRUE
XS_0815,499.1,tima.,tima,tima,1,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0815,567.7,can I have the brush?,brush,brush,1,0,1,0,0,0,0,,0,1,0,0,0,0,TRUE
XS_0815,896.2,ball.,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0815,897.6,zem.,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0815,1115.4,go get zem.,zem,zem,2,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0815,1115.4,go get zem.,zem,ball,2,0,0,0,0,0,1,,1,0,0,0,0,0,FALSE
XS_0819,35.3,zem.,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0819,135.4,do you like the brush too?,brush,brush,2,0,1,0,0,0,0,,0,1,0,0,0,0,TRUE
XS_0819,135.4,do you like the brush too?,brush,tima,2,0,1,0,0,0,0,,0,0,0,0,1,0,FALSE
XS_0819,136.6,brush brush brush.,brush,brush,1,0,1,0,0,0,0,,0,1,0,0,0,0,TRUE
XS_0819,139,brush brush brush brush.,brush,tima,1,0,1,0,0,0,0,,0,0,0,0,1,0,FALSE
XS_0819,139.4,brush brush brush brush.,brush,tima,1,0,1,0,0,0,0,,0,0,0,0,1,0,FALSE
XS_0819,139.8,brush brush brush brush.,brush,tima,1,0,1,0,0,0,0,,0,0,0,0,1,0,FALSE
XS_0819,140.2,brush brush brush brush.,brush,tima,1,0,1,0,0,0,0,,0,0,0,0,1,0,FALSE
XS_0819,146.8,brush brush brush.,brush,brush,2,0,1,0,0,0,0,,0,1,0,0,0,0,TRUE
XS_0819,146.8,brush brush brush.,brush,tima,2,0,1,0,0,0,0,,0,0,0,0,1,0,FALSE
XS_0819,147.4,brush brush brush.,brush,brush,1,0,1,0,0,0,0,,0,1,0,0,0,0,TRUE
XS_0819,147.8,brush brush brush.,brush,brush,1,0,1,0,0,0,0,,0,1,0,0,0,0,TRUE
XS_0819,148.1,brush brush.,brush,brush,1,0,1,0,0,0,0,,0,1,0,0,0,0,TRUE
XS_0819,148.7,brush brush.,brush,brush,1,0,1,0,0,0,0,,0,1,0,0,0,0,TRUE
XS_0819,210.1,look at the tima.,tima,ball,1,0,0,0,0,1,0,,1,0,0,0,0,0,FALSE
XS_0819,233,car.,car,car,1,0,0,1,0,0,0,,0,0,1,0,0,0,TRUE
XS_0819,234.6,do you want to zoom car?,car,car,1,0,0,1,0,0,0,,0,0,1,0,0,0,TRUE
XS_0819,273,car vroom.,car,car,1,0,0,1,0,0,0,,0,0,1,0,0,0,TRUE
XS_0819,468.2,ball.,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0819,566.2,brush car?,car,car,1,0,1,1,0,0,0,,0,0,1,0,0,0,TRUE
XS_0819,572,brush car?,car,brush,2,0,1,1,0,0,0,,0,1,0,0,0,0,TRUE
XS_0819,572,brush car?,car,car,2,0,1,1,0,0,0,,0,0,1,0,0,0,TRUE
XS_0819,629.5,manu.,manu,manu,1,0,0,0,1,0,0,,0,0,0,1,0,0,TRUE
XS_0819,648.5,tima.,tima,tima,1,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0819,879.6,we like the car huh?,car,manu,1,0,0,1,0,0,0,,0,0,0,1,0,0,FALSE
XS_0819,890.4,brush.,brush,brush,1,0,1,0,0,0,0,,0,1,0,0,0,0,TRUE
XS_0819,892.6,brush.,brush,brush,1,0,1,0,0,0,0,,0,1,0,0,0,0,TRUE
XS_0819,910.1,brush.,brush,manu,1,0,1,0,0,0,0,,0,0,0,1,0,0,FALSE
XS_0821,5.6,look at the ball.,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0821,53.8,ooh car.,car,car,1,0,0,1,0,0,0,,0,0,1,0,0,0,TRUE
XS_0821,79.4,it's a happy car.,car,car,1,0,0,1,0,0,0,,0,0,1,0,0,0,TRUE
XS_0821,137.5,it's a zem.,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0821,150.3,zem.,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0821,176.8,zem.,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0821,190.4,it's manu.,manu,manu,1,0,0,0,1,0,0,,0,0,0,1,0,0,TRUE
XS_0821,194,[xxx] what do you think of the manu?,manu,manu,1,0,0,0,1,0,0,,0,0,0,1,0,0,TRUE
XS_0821,208.7,do you like the manu?,manu,manu,1,0,0,0,1,0,0,,0,0,0,1,0,0,TRUE
XS_0821,253.1,brush.,brush,brush,1,0,1,0,0,0,0,,0,1,0,0,0,0,TRUE
XS_0821,256.7,brush.,brush,brush,1,0,1,0,0,0,0,,0,1,0,0,0,0,TRUE
XS_0821,276.4,the brush.,brush,brush,1,0,1,0,0,0,0,,0,1,0,0,0,0,TRUE
XS_0821,326.7,this is a tima.,tima,tima,1,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0821,328,do you like the tima?,tima,tima,1,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0821,333.8,tima's good.,tima,tima,1,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0821,343,let's look at the tima.,tima,tima,1,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0821,384.2,you like zem?,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0821,423.6,ball.,ball,zem,3,1,0,0,0,0,0,,0,0,0,0,0,1,FALSE
XS_0821,423.6,ball.,ball,tima,3,1,0,0,0,0,0,,0,0,0,0,1,0,FALSE
XS_0821,423.6,ball.,ball,ball,3,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0821,441.9,tima.,tima,car,1,0,0,0,0,1,0,,0,0,1,0,0,0,FALSE
XS_0821,499.1,you like the ball.,ball,zem,2,1,0,0,0,0,0,,0,0,0,0,0,1,FALSE
XS_0821,499.1,you like the ball.,ball,ball,2,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0821,558.8,it keeps getting away from you that ball isn't it?,ball,brush,1,1,0,0,0,0,0,,0,1,0,0,0,0,FALSE
XS_0821,607.3,the brush.,brush,manu,1,0,1,0,0,0,0,,0,0,0,1,0,0,FALSE
XS_0821,641,and you got a manu.,manu,tima,1,0,0,0,1,0,0,,0,0,0,0,1,0,FALSE
XS_0821,738,can you turn the manu.,manu,zem,1,0,0,0,1,0,0,,0,0,0,0,0,1,FALSE
XS_0821,776.9,that manu sooky.,manu,zem,1,0,0,0,1,0,0,,0,0,0,0,0,1,FALSE
XS_0821,804,and then zem tickled your toes and tickle your nose.,zem,tima,1,0,0,0,0,0,1,,0,0,0,0,1,0,FALSE
XS_0821,847.9,ah back to the tima.,tima,tima,1,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0822,25,this one is a zem.,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0822,26.7,zem.,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0822,35.3,can you get the zem?,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0822,87.3,how about I take this brush and do ball.,brush,brush,1,1,1,0,0,0,0,,0,1,0,0,0,0,TRUE
XS_0822,90.5,how about I take this brush and do ball.,ball,brush,1,1,1,0,0,0,0,,0,1,0,0,0,0,TRUE
XS_0822,119.5,this is a tima.,tima,tima,1,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0822,256.9,you don't want to give up the brush.,brush,tima,1,0,1,0,0,0,0,,0,0,0,0,1,0,FALSE
XS_0822,277.1,oh you want the brush back.,brush,brush,1,0,1,0,0,0,0,,0,1,0,0,0,0,TRUE
XS_0822,351,I like manus don't you?,manu,manu,1,0,0,0,1,0,0,,0,0,0,1,0,0,TRUE
XS_0822,524.1,how about this ball?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0822,525.8,would you like the ball?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0822,533.7,go get that ball.,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0822,535,go get that ball.,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0822,542,purple ball.,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0822,635.6,you know daddy would want you to use that brush as a hockey stick.,brush,ball,1,0,1,0,0,0,0,,1,0,0,0,0,0,FALSE
XS_0822,681.2,all right let's grab let's grab this tima again.,tima,tima,1,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0822,741,[xxx] you like that brush.,brush,tima,1,0,1,0,0,0,0,,0,0,0,0,1,0,FALSE
XS_0822,844.8,you put the manu in the tima spot though.,manu,tima,1,0,0,0,1,1,0,,0,0,0,0,1,0,TRUE
XS_0822,845.6,you put the manu in the tima spot though.,tima,tima,1,0,0,0,1,1,0,,0,0,0,0,1,0,TRUE
XS_0822,851.5,put that tima back.,tima,tima,1,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0822,908,where'd the ball go?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0822,909.7,your purple ball.,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0822,914,can you go get that purple ball?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0822,915.7,Grayden go get the purple ball.,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0825,4.4,here's a ball.,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0825,6.4,see the ball.,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0825,8.9,lift the ball.,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0825,18.1,do you like that ball?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0825,29.3,get the ball.,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0825,41.1,is that a good ball?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0825,59.7,can you roll the ball?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0825,71.9,oh where's the ball?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0825,72.7,where's the ball?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0825,76.6,mommy gets the ball for Daphne.,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0825,78.7,here's the ball.,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0825,89.4,that's a ball.,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0825,91.3,look at the zem ooh.,zem,zem,2,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0825,91.3,look at the zem ooh.,zem,ball,2,0,0,0,0,0,1,,1,0,0,0,0,0,FALSE
XS_0825,98.2,[xxx] go the zem.,zem,zem,2,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0825,98.2,[xxx] go the zem.,zem,ball,2,0,0,0,0,0,1,,1,0,0,0,0,0,FALSE
XS_0825,102.1,oh you like the ball better?,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0825,139.9,that ball's purple.,ball,zem,1,1,0,0,0,0,0,,0,0,0,0,0,1,FALSE
XS_0825,150.7,ah ball.,ball,zem,1,1,0,0,0,0,0,,0,0,0,0,0,1,FALSE
XS_0825,153.6,mommy's going to play with the zem.,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0825,156,I like a zem.,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0825,158.7,I like the zem.,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0825,163,ooh I love the zem.,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0825,165.8,mommy likes a zem.,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0825,168.3,put the zem on the ball.,zem,zem,1,1,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0825,169.1,put the zem on the ball.,ball,zem,1,1,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0825,169.8,put the zem on the ball.,zem,zem,1,1,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0825,170.6,put the zem on the ball.,ball,ball,1,1,0,0,0,0,1,,1,0,0,0,0,0,TRUE
XS_0825,173.3,oh okay throw the zem.,zem,ball,1,0,0,0,0,0,1,,1,0,0,0,0,0,FALSE
XS_0825,174.4,okay get the ball.,ball,ball,1,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0825,231.5,Daphne has the ball.,ball,zem,1,1,0,0,0,0,0,,0,0,0,0,0,1,FALSE
XS_0825,235.2,yeah get the zem.,zem,zem,1,0,0,0,0,0,1,,0,0,0,0,0,1,TRUE
XS_0825,264.2,mommy's going to play with the tima.,tima,tima,1,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0825,276.6,mommy likes the tima better.,tima,tima,1,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0825,280,does Daphne want to play with the tima too?,tima,tima,1,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0825,282,or does Daphne like the ball better?,ball,tima,1,1,0,0,0,0,0,,0,0,0,0,1,0,FALSE
XS_0825,300.4,you're really into that ball.,ball,tima,1,1,0,0,0,0,0,,0,0,0,0,1,0,FALSE
XS_0825,305.9,it's because we don't have balls at home.,ball,tima,1,1,0,0,0,0,0,,0,0,0,0,1,0,FALSE
XS_0825,321,where's the tima?,tima,tima,2,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0825,321,where's the tima?,tima,ball,2,0,0,0,0,1,0,,1,0,0,0,0,0,FALSE
XS_0825,322.4,mommy will play with the ball.,ball,tima,2,1,0,0,0,0,0,,0,0,0,0,1,0,FALSE
XS_0825,322.4,mommy will play with the ball.,ball,ball,2,1,0,0,0,0,0,,1,0,0,0,0,0,TRUE
XS_0825,325.8,do you like that tima?,tima,tima,1,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0825,329.6,the tima is orange.,tima,zem,2,0,0,0,0,1,0,,0,0,0,0,0,1,FALSE
XS_0825,329.6,the tima is orange.,tima,tima,2,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0825,333.5,where's the tima?,tima,tima,1,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0825,359,like that tima.,tima,tima,2,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0825,359,like that tima.,tima,ball,2,0,0,0,0,1,0,,1,0,0,0,0,0,FALSE
XS_0825,376.5,shake the tima.,tima,tima,2,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0825,376.5,shake the tima.,tima,ball,2,0,0,0,0,1,0,,1,0,0,0,0,0,FALSE
XS_0825,426,is that the tima?,tima,ball,1,0,0,0,0,1,0,,1,0,0,0,0,0,FALSE
XS_0825,499,that tima's pretty fun.,tima,tima,2,0,0,0,0,1,0,,0,0,0,0,1,0,TRUE
XS_0825,499,that tima's pretty fun.,tima,ball,2,0,0,0,0,1,0,,1,0,0,0,0,0,FALSE
XS_0825,576,oh can you get the zem with the tima?,zem,zem,2,0,0,0,0,1,1,,0,0,0,0,0,1,TRUE
XS_0825,576,oh can you get the zem with the tima?,zem,ball,2,0,0,0,0,1,1,,1,0,0,0,0,0,FALSE
XS_0825,576,oh can you get the zem with the tima?,tima,zem,2,0,0,0,0,1,1,,0,0,0,0,0,1,TRUE
XS_0825,576,oh can you get the zem with the tima?,tima,ball,2,0,0,0,0,1,1,,1,0,0,0,0,0,FALSE
XS_0825,580.6,no you can just stick with the tima that's good.,tima,ball,1,0,0,0,0,1,0,,1,0,0,0,0,0,FALSE
